ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10000108,HY189719,03/15/2015 04:10:00 PM,078XX S VINCENNES AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,CTA GARAGE / OTHER PROPERTY,false,true,0623,006,17,69,26,1175130,1853144,2015,02/10/2018 03:50:01 PM,41.752406801,-87.633792381,"(41.752406801, -87.633792381)"
10000109,HY189966,03/18/2015 09:14:00 PM,086XX S EXCHANGE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,DRIVEWAY - RESIDENTIAL,true,false,0423,004,10,46,15,1197309,1848290,2015,02/10/2018 03:50:01 PM,41.738563465,-87.552678593,"(41.738563465, -87.552678593)"
10000110,HY190056,03/18/2015 10:50:00 PM,014XX S ASHLAND AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1233,012,2,28,08B,1165950,1893388,2015,02/10/2018 03:50:01 PM,41.86304084,-87.666288555,"(41.86304084, -87.666288555)"
10000111,HY190019,03/18/2015 10:31:00 PM,051XX W CHICAGO AVE,0860,THEFT,RETAIL THEFT,GAS STATION,true,false,1531,015,37,25,06,1141741,1904839,2015,02/10/2018 03:50:01 PM,41.894945606,-87.754874977,"(41.894945606, -87.754874977)"
10000112,HY189725,03/18/2015 12:55:00 PM,077XX S KINGSTON AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0421,004,7,43,05,1194535,1854110,2015,02/10/2018 03:50:01 PM,41.754602618,-87.562650741,"(41.754602618, -87.562650741)"
10000114,HY190071,03/18/2015 08:00:00 PM,024XX W NORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,false,false,1423,014,1,24,07,1159959,1910569,2015,02/10/2018 03:50:01 PM,41.910312648,-87.687806494,"(41.910312648, -87.687806494)"
10000115,HY190036,03/18/2015 09:00:00 PM,069XX S LOOMIS BLVD,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,false,false,0734,007,17,67,06,1168192,1858832,2015,02/10/2018 03:50:01 PM,41.768167414,-87.659053795,"(41.768167414, -87.659053795)"
10000116,HY190063,03/18/2015 10:56:00 PM,105XX S LAFAYETTE AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,ALLEY,true,false,0512,005,34,49,24,1177790,1835106,2015,02/10/2018 03:50:01 PM,41.70284845,-87.624588931,"(41.70284845, -87.624588931)"
10000117,HY190068,03/18/2015 10:45:00 PM,087XX S KIMBARK AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,0412,004,8,48,06,1186312,1847473,2015,02/10/2018 03:50:01 PM,41.736588206,-87.59299436,"(41.736588206, -87.59299436)"
10000118,HY190031,03/18/2015 10:00:00 PM,075XX S STONY ISLAND AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,0411,004,5,43,06,1188123,1855151,2015,02/10/2018 03:50:01 PM,41.757614433,-87.586115266,"(41.757614433, -87.586115266)"
